role,skills,avg_salary
Data Scientist,"python, machine learning, statistics, pandas, numpy, sklearn, data visualization, SQL, deep learning, communication",1200000
Machine Learning Engineer,"python, tensorflow, pytorch, machine learning, algorithms, system design, docker, kubernetes, mlops",1400000
Data Analyst,"excel, sql, tableau, power bi, pandas, data cleaning, visualization, statistics",700000
Business Analyst,"excel, sql, communication, stakeholder management, requirement gathering, powerpoint, tableau",850000
Backend Developer,"java, springboot, sql, rest api, microservices, jdbc, docker, git",900000
Frontend Developer,"html, css, javascript, react, responsive design, webpack, ui/ux basics",800000
Full Stack Developer,"javascript, react, nodejs, express, sql, mongodb, rest api, docker",1100000
DevOps Engineer,"linux, docker, kubernetes, ci/cd, aws, terraform, monitoring, scripting",1300000
AI Researcher,"python, deep learning, pytorch, tensorflow, research, math, numpy, publications",1600000
NLP Engineer,"python, nlp, transformers, huggingface, tokenization, pytorch, text preprocessing",1400000
Computer Vision Engineer,"python, opencv, deep learning, convolutional networks, pytorch, tensorflow",1450000
Product Manager,"product management, communication, stakeholder management, analytics, roadmap, prioritization",1500000
QA Engineer,"testing, selenium, automation, pytest, test plans, bug reporting",700000
Cloud Engineer,"aws, azure, gcp, cloud architecture, terraform, docker, kubernetes",1400000
Mobile Developer,"android, kotlin, java, ios, swift, mobile ui, rest api",1000000
Cybersecurity Analyst,"networking, security, linux, incident response, penetration testing, wireshark",1300000
Business Intelligence Engineer,"sql, tableau, power bi, data modeling, etl, redshift, bigquery",1200000
Data Engineer,"python, spark, sql, etl, airflow, data pipelines, aws",1350000
SRE (Site Reliability Engineer),"linux, monitoring, terraform, kubernetes, python, incident management",1450000
Automation Engineer,"selenium, python, test automation, ci/cd, jenkins, pytest",900000
Technical Writer,"technical writing, communication, documentation, markdown, product knowledge",700000
Sales Engineer,"communication, product knowledge, sales, demos, crm, negotiation",850000
HR Analytics,"excel, sql, python, analytics, communication, dashboards",800000
Cloud Architect,"architectural design, aws, azure, gcp, security, cost optimization",2000000
Robotics Engineer,"c++, robotics, control systems, sensors, python, ros",1300000
Game Developer,"unity, unreal engine, c++, c#, game physics, 3d modeling, opengl, gameplay programming",1100000
Blockchain Developer,"solidity, ethereum, smart contracts, web3, truffle, hardhat, javascript, cryptography",1600000
AR/VR Developer,"unity, unreal engine, ar, vr, xr, c#, spatial computing, 3d design, openxr",1400000
Embedded Systems Engineer,"c, c++, rtos, microcontrollers, firmware, hardware, iot, serial protocols, embedded linux",1200000
Data Science Manager,"python, machine learning, leadership, team management, stakeholder communication, strategy, data strategy",2200000
Technical Program Manager,"project management, agile, scrum, communication, risk management, roadmap, stakeholder management, jira",1800000
Security Engineer,"penetration testing, security, vulnerability assessment, siem, python, linux, cloud security, compliance",1600000
UI/UX Designer,"figma, sketch, user research, wireframing, prototyping, usability testing, design systems, css",900000
Flutter Developer,"flutter, dart, mobile development, android, ios, rest api, firebase, ui design",1000000
Django Developer,"python, django, rest api, postgresql, orm, html, css, docker",900000
MLOps Engineer,"mlops, python, docker, kubernetes, mlflow, kubeflow, ci/cd, model deployment, monitoring",1500000
Junior Data Scientist,"python, machine learning, statistics, pandas, numpy, sklearn, data visualization, SQL, deep learning, communication, basics, eagerness to learn",660000
Senior Data Scientist,"python, machine learning, statistics, pandas, numpy, sklearn, data visualization, SQL, deep learning, communication, leadership, architecture, mentoring",1920000
Junior Machine Learning Engineer,"python, tensorflow, pytorch, machine learning, algorithms, system design, docker, kubernetes, mlops, basics, eagerness to learn",770000
Senior Machine Learning Engineer,"python, tensorflow, pytorch, machine learning, algorithms, system design, docker, kubernetes, mlops, leadership, architecture, mentoring",2240000
Junior Data Analyst,"excel, sql, tableau, power bi, pandas, data cleaning, visualization, statistics, basics, eagerness to learn",385000
Senior Data Analyst,"excel, sql, tableau, power bi, pandas, data cleaning, visualization, statistics, leadership, architecture, mentoring",1120000
Junior Business Analyst,"excel, sql, communication, stakeholder management, requirement gathering, powerpoint, tableau, basics, eagerness to learn",467500
Senior Business Analyst,"excel, sql, communication, stakeholder management, requirement gathering, powerpoint, tableau, leadership, architecture, mentoring",1360000
Junior Backend Developer,"java, springboot, sql, rest api, microservices, jdbc, docker, git, basics, eagerness to learn",495000
Senior Backend Developer,"java, springboot, sql, rest api, microservices, jdbc, docker, git, leadership, architecture, mentoring",1440000
Junior Frontend Developer,"html, css, javascript, react, responsive design, webpack, ui/ux basics, basics, eagerness to learn",440000
Senior Frontend Developer,"html, css, javascript, react, responsive design, webpack, ui/ux basics, leadership, architecture, mentoring",1280000
Junior Full Stack Developer,"javascript, react, nodejs, express, sql, mongodb, rest api, docker, basics, eagerness to learn",605000
Senior Full Stack Developer,"javascript, react, nodejs, express, sql, mongodb, rest api, docker, leadership, architecture, mentoring",1760000
Junior DevOps Engineer,"linux, docker, kubernetes, ci/cd, aws, terraform, monitoring, scripting, basics, eagerness to learn",715000
Senior DevOps Engineer,"linux, docker, kubernetes, ci/cd, aws, terraform, monitoring, scripting, leadership, architecture, mentoring",2080000
Junior AI Researcher,"python, deep learning, pytorch, tensorflow, research, math, numpy, publications, basics, eagerness to learn",880000
Senior AI Researcher,"python, deep learning, pytorch, tensorflow, research, math, numpy, publications, leadership, architecture, mentoring",2560000
Junior NLP Engineer,"python, nlp, transformers, huggingface, tokenization, pytorch, text preprocessing, basics, eagerness to learn",770000
Senior NLP Engineer,"python, nlp, transformers, huggingface, tokenization, pytorch, text preprocessing, leadership, architecture, mentoring",2240000
Junior Computer Vision Engineer,"python, opencv, deep learning, convolutional networks, pytorch, tensorflow, basics, eagerness to learn",797500
Senior Computer Vision Engineer,"python, opencv, deep learning, convolutional networks, pytorch, tensorflow, leadership, architecture, mentoring",2320000
Junior Product Manager,"product management, communication, stakeholder management, analytics, roadmap, prioritization, basics, eagerness to learn",825000
Senior Product Manager,"product management, communication, stakeholder management, analytics, roadmap, prioritization, leadership, architecture, mentoring",2400000
Junior QA Engineer,"testing, selenium, automation, pytest, test plans, bug reporting, basics, eagerness to learn",385000
Senior QA Engineer,"testing, selenium, automation, pytest, test plans, bug reporting, leadership, architecture, mentoring",1120000
Junior Cloud Engineer,"aws, azure, gcp, cloud architecture, terraform, docker, kubernetes, basics, eagerness to learn",770000
Senior Cloud Engineer,"aws, azure, gcp, cloud architecture, terraform, docker, kubernetes, leadership, architecture, mentoring",2240000
Junior Mobile Developer,"android, kotlin, java, ios, swift, mobile ui, rest api, basics, eagerness to learn",550000
Senior Mobile Developer,"android, kotlin, java, ios, swift, mobile ui, rest api, leadership, architecture, mentoring",1600000
Junior Cybersecurity Analyst,"networking, security, linux, incident response, penetration testing, wireshark, basics, eagerness to learn",715000
Senior Cybersecurity Analyst,"networking, security, linux, incident response, penetration testing, wireshark, leadership, architecture, mentoring",2080000
Junior Business Intelligence Engineer,"sql, tableau, power bi, data modeling, etl, redshift, bigquery, basics, eagerness to learn",660000
Senior Business Intelligence Engineer,"sql, tableau, power bi, data modeling, etl, redshift, bigquery, leadership, architecture, mentoring",1920000
Junior Data Engineer,"python, spark, sql, etl, airflow, data pipelines, aws, basics, eagerness to learn",742500
Senior Data Engineer,"python, spark, sql, etl, airflow, data pipelines, aws, leadership, architecture, mentoring",2160000
Junior SRE (Site Reliability Engineer),"linux, monitoring, terraform, kubernetes, python, incident management, basics, eagerness to learn",797500
Senior SRE (Site Reliability Engineer),"linux, monitoring, terraform, kubernetes, python, incident management, leadership, architecture, mentoring",2320000
Junior Automation Engineer,"selenium, python, test automation, ci/cd, jenkins, pytest, basics, eagerness to learn",495000
Senior Automation Engineer,"selenium, python, test automation, ci/cd, jenkins, pytest, leadership, architecture, mentoring",1440000
Junior Technical Writer,"technical writing, communication, documentation, markdown, product knowledge, basics, eagerness to learn",385000
